Broken_image,ID,Make,Supername,Year,Model,Status,Real,Type,Class,Perf. Class,Max Rank,Stars,Unlock,Star Value,Category,Brand,Series,Country,Reserve List,Desc. Source,Description,Broken_Image,,_1,_2,_3,_4,_5,_6,_7,_8
FALSE,1090,Abarth,,2017,124 Spider,,,Rally,,,,,,,Modern Rally,Tomica,Tomica Standard,Italy,Yes,,,,,,,,,,,,
FALSE,2370,Abarth,,1976,131,,,Rally,,,,,,,Retro Rally,Hot Wheels,2024 Premium Italian Rally Car Culture 2-Pack,Italy,,,,,,,,,,,,,
FALSE,3506,Abarth,,1975,Fiat SE 031 Bertone Giro d'Italia,,,,,,,,,,,Laudoracing,,,,,,,,,,,,,,,
FALSE,1528,ABT,,2021,Audi RS6 Signature Edition,,,Road,A,,,,,,Super Saloons,Mini GT,Johann Abt Signature Edition #514,Germany,,Supercars.net,"An homage to the founder and to celebrate the 125th anniversary of ABT. Only 64 units are available, which represents the age at which Johann Abt passed away.",,,,,,,,,,
FALSE,2455,AC,,1957,Ace Bristol,,,,,,,,,,Rare Classics,Yow Modellini,La Festa Mille Miglia,,,,,,,,,,,,,,
FALSE,1113,AC Schnitzer,,1989,S3 Sport,,,Road,B,,,,,,Retro Saloons,Mini GT,Black #119,Germany,Yes,,,,,,,,,,,,
FALSE,1741,Acadian,,1967,Canso Sport Deluxe Gasser,,,Drag,A,,,,,,Drag Strip Demons,M2 Machines,Hobby Exclusive,Canada,,Classic Cars Journal,"This is a gasser-modified Canadian market Chevy Nova SS. These cars are quite rare with an estimated total of only 370 produced. The reason for the different models was due to customs duties, as U.S.-built models incurred a tariff.",,,,,,,,,,
FALSE,3516,Acura,,2023,ARX-06 GTP,,,,,,,,,,,Mini GT,#685 #10 No. 10 Konica Minolta Acura ARX-06 2023 IMSA Daytona 24 Hrs,,,,,,,,,,,,,,
FALSE,2091,Acura,Mia's,,Custom Integra Sedan GSR,,,,,,,,,,,Hot Wheels,2023 Premium Fast & Furious,,,,,,,,,,,,,,
FALSE,6,Acura,,2003,HSC Concept,Rare,Real,Road,A,#REF!,,?????,Special Event,5,Modern Concepts,Hot Wheels,,,No,Acura Wikia,The High-performance Sports Concept is a design study combining the ultimate in supercar performance with the interior comfort and handling ease of a daily driver.,,,,,,,,,,
FALSE,5,Acura,Custom,2001,Integra GSR,Rare,Real,Road,D,#REF!,1200,???,Card Packs,3,Retro Sports Cars,Hot Wheels,2017 HW Speed Graphics,,No,,,,,,,,,,,,
FALSE,2814,Acura,Custom,2001,Integra GSR,,,,,,,,,,Retro Hot Hatch,Hot Wheels,2024 Premium Car Culture Boulevard,,,,,,,,,,,,,,
FALSE,2176,Acura,Custom,2001,Integra Sedan GSR,,,,,,,,,,,Hot Wheels,2024 Japanese Themed Multipack,,,,,,,,,,,,,,
FALSE,4,Acura,,1990,NSX,Rare,Real,Road,C,#REF!,1950,????,Card Packs,4,Retro Sports Cars,Hot Wheels,2017 Nightburnerz,,No,Mattel,"Mid-engine, rear-wheel-drive sports car designed to balance usable power and reliability. With a naturally aspirated VTEC engine, it's suitable for the extreme demands of both road and track, and is considered to be one of the most reliable exotic cars ever made.",,,,,,,,,,
FALSE,2,Acura,,2017,NSX,Rare,Real,Road,B,#REF!,2350,????,Card Packs,4,Modern Super Cars,Hot Wheels,,,No,GT,"Production of the first NSX ended in 2005, but the 2nd generation NSX appeared as a concept car in 2012. Exactly 3 years later at the 2015 Detroit show, the production car was officially revealed.",,,,,,,,,,
FALSE,3,Acura,,2017,NSX,Special Ed.,Real,Road,B,#REF!,,????,,4,Modern Super Cars,Hot Wheels,,,No,GT,"Production of the first NSX ended in 2005, but the 2nd generation NSX appeared as a concept car in 2012. Exactly 3 years later at the 2015 Detroit show, the production car was officially revealed.",,,,,,,,,,
FALSE,1465,Acura,,2017,NSX,,,Road,B,#REF!,2350,????,Card Packs,4,Modern Super Cars,Hot Wheels,2023 Multipack Exclusive,,,,,,,,,,,,,,
